City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,General Roca,-39.0333,-67.5833,43.63,46,100,12.59,AR,2022-06-21 17:10:31
176,Kangasala,61.4638,24.076,70.07,63,99,2.66,FI,2022-06-21 17:10:32
177,Leningradskiy,69.3833,178.4167,33.66,92,100,14.07,RU,2022-06-21 17:10:32
178,Arlit,18.7369,7.3853,107.01,6,0,8.14,NE,2022-06-21 17:10:32
179,Ilula,-7.6766,36.0366,54.97,77,2,5.1,TZ,2022-06-21 17:09:18
180,Mackenzie,55.2999,-123.1698,60.12,52,83,8.57,CA,2022-06-21 17:10:33
181,Belyy Yar,53.6039,91.3903,60.85,77,0,2.24,RU,2022-06-21 17:10:33
182,Gamba,-2.65,10.0,72.27,76,35,8.59,GA,2022-06-21 17:10:33
183,Palmas,-10.2128,-48.3603,91.27,35,40,6.91,BR,2022-06-21 17:05:40
184,Taoudenni,22.6783,-3.9836,109.26,11,4,5.01,ML,2022-06-21 17:11:34
185,Djougou,9.7085,1.666,81.91,68,98,4.81,BJ,2022-06-21 17:11:34
186,Viedma,-40.8135,-62.9967,48.87,42,25,14.88,AR,2022-06-21 17:11:35
187,Eyl,7.9803,49.8164,78.84,77,73,31.32,SO,2022-06-21 17:11:35
188,Ulladulla,-35.35,150.4667,47.35,78,0,5.21,AU,2022-06-21 17:11:35
189,Bitam,2.076,11.5007,69.78,97,100,2.64,GA,2022-06-21 17:11:36
190,Kyshtovka,56.555,76.6271,62.85,95,84,10.22,RU,2022-06-21 17:11:36
191,Mahebourg,-20.4081,57.7,70.09,64,20,5.75,MU,2022-06-21 17:11:36
192,Ribeira Grande,38.5167,-28.7,68.4,73,75,16.11,PT,2022-06-21 17:11:37
193,Esperance,-33.8667,121.9,57.54,65,100,12.68,AU,2022-06-21 17:11:37
194,Bulawayo,-20.15,28.5833,53.92,67,0,11.77,ZW,2022-06-21 17:11:37
195,Pervomayskoye,43.919,46.7102,73.71,52,50,9.91,RU,2022-06-21 17:11:38
196,Moose Factory,51.2585,-80.6094,76.98,78,40,8.05,CA,2022-06-21 17:11:38
197,Suzdal,56.4281,40.4414,60.22,76,73,4.29,RU,2022-06-21 17:11:38
198,Kidal,18.4411,1.4078,104.31,13,14,6.87,ML,2022-06-21 17:11:39
199,Storforshei,66.4043,14.5233,47.66,81,75,8.05,NO,2022-06-21 17:11:39
200,Imbituba,-28.24,-48.6703,61.09,99,100,3.0,BR,2022-06-21 17:11:40
201,Palanga,55.9175,21.0686,62.62,72,0,8.05,LT,2022-06-21 17:11:17
202,Saint-Francois,46.4154,3.9054,74.64,73,71,6.91,FR,2022-06-21 17:11:40
203,San Ramon,37.7799,-121.978,87.48,28,0,5.01,US,2022-06-21 17:11:02
204,Pangody,65.85,74.4859,72.03,54,90,7.63,RU,2022-06-21 17:11:41
205,Brae,60.3964,-1.353,51.69,68,84,6.89,GB,2022-06-21 17:11:41
206,Tumpat,6.1978,102.171,79.84,81,88,0.72,MY,2022-06-21 17:11:41
207,Caravelas,-17.7125,-39.2481,76.01,75,45,6.53,BR,2022-06-21 17:11:42
208,Kaitangata,-46.2817,169.8464,34.32,86,0,4.41,NZ,2022-06-21 17:11:42
209,Bunol,39.4167,-0.7833,84.42,30,93,15.37,ES,2022-06-21 17:11:42
210,Fonte Boa,-2.4959,-66.2662,81.95,78,49,1.5,BR,2022-06-21 17:11:43
211,Kaa-Khem,51.6833,94.7333,61.12,62,59,4.18,RU,2022-06-21 17:11:43
212,Charters Towers,-20.1,146.2667,61.88,80,100,7.43,AU,2022-06-21 17:11:43
213,Carbonia,39.1672,8.5222,81.01,20,20,9.4,IT,2022-06-21 17:11:44
214,Deputatskiy,69.3,139.9,41.54,56,24,2.28,RU,2022-06-21 17:11:44
215,Coquimbo,-29.9533,-71.3436,60.53,55,40,9.22,CL,2022-06-21 17:11:44
216,Sinnamary,5.3833,-52.95,82.4,75,16,6.44,GF,2022-06-21 17:11:45
217,Sangar,63.9242,127.4739,50.49,73,75,4.18,RU,2022-06-21 17:11:45
218,Tarko-Sale,64.9225,77.785,71.13,58,26,12.01,RU,2022-06-21 17:11:45
