City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
277,Yulara,AU,-25.2406,130.9889,49.39,55,0,7.49,clear sky
278,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,10.36,overcast clouds
279,Cape Coast,GH,5.1053,-1.2466,74.57,93,100,9.17,overcast clouds
280,Nyurba,RU,63.2842,118.3319,62.35,63,41,3.74,scattered clouds
281,Trinidad,BO,-14.8333,-64.9,89.58,55,20,13.8,few clouds
282,Itoman,JP,26.1247,127.6694,81.37,94,20,6.91,few clouds
283,Puerto Boyaca,CO,5.9758,-74.5885,88.68,58,3,0.67,clear sky
284,Pangkalanbuun,ID,-2.6833,111.6167,73.98,99,97,2.06,overcast clouds
285,El Jicaro,GT,14.9167,-89.9,90.93,65,90,5.48,overcast clouds
286,Nouadhibou,MR,20.931,-17.0347,75.18,73,10,12.66,clear sky
287,Tocopilla,CL,-22.092,-70.1979,62.6,58,9,4.03,clear sky
288,Port Lincoln,AU,-34.7333,135.8667,56.03,66,100,15.9,overcast clouds
289,Bend,US,44.0582,-121.3153,85.32,30,0,10.36,clear sky
290,Vastseliina,EE,57.7303,27.2932,52.0,76,6,0.58,clear sky
291,Marawi,PH,7.9986,124.2928,68.86,93,100,2.93,overcast clouds
292,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,1,12.82,clear sky
293,Along,IN,28.1667,94.7667,73.85,99,99,1.45,overcast clouds
294,Saldanha,ZA,-33.0117,17.9442,60.85,91,85,5.55,overcast clouds
295,Vostok,RU,46.4856,135.8833,56.08,97,100,3.62,overcast clouds
296,Kamen-Rybolov,RU,44.7481,132.0403,60.66,95,100,10.04,moderate rain
297,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,0,9.22,clear sky
298,Korla,CN,41.7597,86.1469,82.38,17,26,7.96,scattered clouds
299,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.84,94,100,6.82,heavy intensity rain
300,Ketchikan,US,55.3422,-131.6461,54.07,71,100,9.22,overcast clouds
301,Noumea,NC,-22.2763,166.4572,70.0,99,100,6.26,overcast clouds
302,Tezu,IN,27.9167,96.1667,74.55,97,94,3.09,overcast clouds
303,Kousseri,CM,12.0769,15.0306,90.28,39,16,3.33,few clouds
304,Hobyo,SO,5.3505,48.5268,77.99,82,100,25.84,overcast clouds
305,Esperance,AU,-33.8667,121.9,57.79,85,33,13.27,scattered clouds
306,Saint-Francois,FR,46.4154,3.9054,69.24,83,75,6.91,light rain
307,Lahaina,US,20.8783,-156.6825,84.2,82,100,8.34,overcast clouds
308,Bedele,ET,8.456,36.353,55.04,96,100,3.22,light rain
309,Kirakira,SB,-10.4544,161.9205,80.49,83,100,5.14,heavy intensity rain
310,Bethel,US,41.3712,-73.414,63.64,92,100,1.01,overcast clouds
311,Torremolinos,ES,36.6204,-4.4998,78.39,41,20,6.91,light rain
312,Yumen,CN,40.2833,97.2,72.48,29,1,8.5,clear sky
313,Portland,US,45.5234,-122.6762,81.14,60,20,9.22,few clouds
314,Boa Vista,BR,2.8197,-60.6733,84.18,65,75,8.05,thunderstorm
315,Caravelas,BR,-17.7125,-39.2481,71.64,87,0,4.76,clear sky
316,Hami,CN,42.8,93.45,83.97,12,1,5.35,clear sky
317,Bloemfontein,ZA,-29.1211,26.214,47.68,93,100,3.44,light rain
318,Katsuura,JP,35.1333,140.3,69.85,95,100,8.97,overcast clouds
319,Fukue,JP,32.6881,128.8419,75.61,90,24,17.02,few clouds
320,Iranshahr,IR,27.2025,60.6848,93.54,22,15,20.71,few clouds
321,Asfi,MA,32.2994,-9.2372,67.01,74,0,7.54,clear sky
322,Castrillon,ES,43.3979,-6.7922,56.32,99,100,0.74,overcast clouds
323,Triolet,MU,-20.0547,57.5453,66.49,78,6,4.0,clear sky
324,Husavik,IS,66.0449,-17.3389,39.42,82,100,20.51,overcast clouds
325,Nemuro,JP,43.3236,145.575,49.35,92,100,9.35,overcast clouds
326,Yinchuan,CN,38.4681,106.2731,73.99,50,0,7.99,clear sky
327,Parana,AR,-31.732,-60.5238,50.56,76,100,10.42,overcast clouds
328,Son La,VN,21.3167,103.9,69.82,98,100,1.48,overcast clouds
329,Lerwick,GB,60.1545,-1.1494,53.6,94,100,24.61,overcast clouds
330,Faanui,PF,-16.4833,-151.75,80.64,64,10,12.21,clear sky
331,Mount Isa,AU,-20.7333,139.5,58.77,51,0,8.05,clear sky
332,Port Hardy,CA,50.6996,-127.4199,55.58,67,75,9.22,broken clouds
333,Lewisville,US,33.0462,-96.9942,101.73,38,40,9.22,scattered clouds
334,Cidreira,BR,-30.1811,-50.2056,61.29,95,98,9.42,moderate rain
335,Strai,NO,58.2,7.9,61.39,66,0,11.5,clear sky
336,Lakes Entrance,AU,-37.8811,147.981,51.85,70,98,8.48,light rain
337,Saint-Pierre,RE,-21.3393,55.4781,65.88,55,75,9.22,broken clouds
338,Zhigalovo,RU,54.8097,105.1578,51.76,77,100,3.15,overcast clouds
339,Antalaha,MG,-14.9003,50.2788,66.81,72,64,9.26,broken clouds
340,Shatrovo,RU,56.5167,64.6333,59.38,84,100,13.71,overcast clouds
341,Sioux Lookout,CA,50.1001,-91.917,73.47,38,20,12.66,few clouds
342,North Platte,US,41.1239,-100.7654,89.49,33,0,12.66,clear sky
343,Naifaru,MV,5.4444,73.3657,82.42,77,100,10.2,overcast clouds
344,Haines Junction,CA,60.7522,-137.5108,57.15,72,100,9.22,overcast clouds
345,Nobres,BR,-14.7203,-56.3275,83.46,30,82,3.83,broken clouds
